nh,clust,agric_equipment_code,Member_own_any_equipment
17,4019,21,2
17,4019,22,2
17,4019,31,2
17,4019,41,2
17,4019,42,2
17,4019,51,2
17,4019,61,2
17,4019,62,2
17,4019,63,2
17,4019,64,2
17,4019,65,1
18,4019,21,2
18,4019,22,2
18,4019,31,2
18,4019,41,2
18,4019,42,2
18,4019,51,2
18,4019,61,2
18,4019,62,2
18,4019,63,2
18,4019,64,2
18,4019,65,1
19,4019,21,2
19,4019,22,2
19,4019,31,2
19,4019,41,2
19,4019,42,2
19,4019,51,2
19,4019,61,2
19,4019,62,2
19,4019,63,2
19,4019,64,2
19,4019,65,1
20,4019,21,2
20,4019,22,2
20,4019,31,2
20,4019,41,2
20,4019,42,2
20,4019,51,2
20,4019,61,2
20,4019,62,2
20,4019,63,2
20,4019,64,2
20,4019,65,1
1,4025,21,2
1,4025,22,2
1,4025,31,2
1,4025,41,2
1,4025,42,2
1,4025,61,2
1,4025,62,1
1,4025,63,1
1,4025,64,2
1,4025,65,2
2,4025,21,2
2,4025,22,2
2,4025,31,2
2,4025,41,2
2,4025,42,2
2,4025,51,2
2,4025,61,2
2,4025,62,1
2,4025,63,1
2,4025,64,2
2,4025,65,2
3,4025,21,2
3,4025,22,2
3,4025,31,2
3,4025,41,2
3,4025,42,2
3,4025,51,2
3,4025,61,2
3,4025,62,1
3,4025,63,1
3,4025,64,2
3,4025,65,2
6,4025,21,2
6,4025,22,2
6,4025,31,2
6,4025,41,2
6,4025,42,2
6,4025,51,2
6,4025,61,2
6,4025,62,1
6,4025,63,1
6,4025,64,2
6,4025,65,2
10,4025,21,2
10,4025,22,2
10,4025,31,2
10,4025,41,2
10,4025,42,2
10,4025,51,2
10,4025,61,2
10,4025,62,2
10,4025,63,1
10,4025,64,2
10,4025,65,2
14,4025,21,2
14,4025,22,2
14,4025,31,2
14,4025,41,2
14,4025,42,2
14,4025,51,2
14,4025,61,2
14,4025,62,2
14,4025,63,1
14,4025,64,2
14,4025,65,2
1,4029,21,2
1,4029,22,2
1,4029,31,2
1,4029,41,2
1,4029,42,2
1,4029,51,2
1,4029,61,2
1,4029,62,2
1,4029,63,2
1,4029,64,2
1,4029,65,1
2,4029,21,2
2,4029,22,2
2,4029,31,2
2,4029,41,2
2,4029,42,2
2,4029,51,2
2,4029,61,2
2,4029,62,2
2,4029,63,2
2,4029,64,2
2,4029,65,1
3,4029,21,2
3,4029,22,2
3,4029,31,2
3,4029,41,2
3,4029,42,2
3,4029,51,2
3,4029,61,2
3,4029,62,2
3,4029,63,2
3,4029,64,2
3,4029,65,1
4,4029,21,2
4,4029,22,2
4,4029,31,2
4,4029,41,2
4,4029,42,2
4,4029,51,2
4,4029,61,2
4,4029,62,2
4,4029,63,2
4,4029,64,2
4,4029,65,1
5,4029,21,2
5,4029,22,2
5,4029,31,2
5,4029,41,2
5,4029,42,2
5,4029,51,2
5,4029,61,2
5,4029,62,2
5,4029,63,2
5,4029,64,2
5,4029,65,1
7,4029,21,2
7,4029,22,2
7,4029,31,2
7,4029,41,2
7,4029,42,2
7,4029,51,2
7,4029,61,2
7,4029,62,2
7,4029,63,2
7,4029,64,2
7,4029,65,1
8,4029,21,2
8,4029,22,2
8,4029,31,2
8,4029,41,2
8,4029,42,2
8,4029,51,2
8,4029,61,2
8,4029,62,2
8,4029,63,2
8,4029,64,2
8,4029,65,1
10,4029,21,2
10,4029,22,2
10,4029,31,2
10,4029,41,2
10,4029,42,2
10,4029,51,2
10,4029,61,2
10,4029,62,2
10,4029,63,2
10,4029,64,2
10,4029,65,1
11,4029,21,2
11,4029,22,2
11,4029,31,2
11,4029,41,2
11,4029,42,2
11,4029,51,2
11,4029,61,2
11,4029,62,2
11,4029,63,2
11,4029,64,2
11,4029,65,1
12,4029,21,2
12,4029,22,2
12,4029,31,2
12,4029,41,2
12,4029,42,2
12,4029,51,2
12,4029,61,2
12,4029,62,2
12,4029,63,2
12,4029,64,2
12,4029,65,1
13,4029,21,2
13,4029,22,2
13,4029,31,2
13,4029,41,2
13,4029,42,2
13,4029,51,2
13,4029,61,2
13,4029,62,2
13,4029,63,2
13,4029,64,2
13,4029,65,1
14,4029,21,2
14,4029,22,2
14,4029,31,2
14,4029,41,2
14,4029,42,2
14,4029,51,2
14,4029,61,2
14,4029,62,2
14,4029,63,2
14,4029,64,2
14,4029,65,1
15,4029,21,2
15,4029,22,2
15,4029,31,2
15,4029,41,2
15,4029,42,2
15,4029,51,2
15,4029,61,2
15,4029,62,2
15,4029,63,2
15,4029,64,2
15,4029,65,1
16,4029,21,2
16,4029,22,2
16,4029,31,2
16,4029,41,2
16,4029,42,2
16,4029,51,2
16,4029,61,2
16,4029,62,2
16,4029,63,2
16,4029,64,2
16,4029,65,1
19,4029,21,2
19,4029,22,2
19,4029,31,2
19,4029,41,2
19,4029,42,2
19,4029,51,2
19,4029,61,2
19,4029,62,2
19,4029,63,2
19,4029,64,2
19,4029,65,1
1,4032,21,2
1,4032,22,2
1,4032,31,2
1,4032,41,2
1,4032,42,2
1,4032,51,2
1,4032,61,2
1,4032,62,2
1,4032,63,2
1,4032,64,2
1,4032,65,1
2,4032,21,2
2,4032,22,2
2,4032,31,2
2,4032,41,2
2,4032,42,2
2,4032,51,2
2,4032,61,2
2,4032,62,2
2,4032,63,2
2,4032,64,2
2,4032,65,1
3,4032,21,2
3,4032,22,2
3,4032,31,2
3,4032,41,2
3,4032,42,2
3,4032,51,2
3,4032,61,2
3,4032,62,2
3,4032,63,2
3,4032,64,2
3,4032,65,1
4,4032,21,2
4,4032,22,2
4,4032,31,2
4,4032,41,2
4,4032,42,2
4,4032,51,1
4,4032,61,2
4,4032,62,2
4,4032,63,2
4,4032,64,2
4,4032,65,1
5,4032,21,2
5,4032,22,2
5,4032,31,2
5,4032,41,2
5,4032,42,2
5,4032,51,2
5,4032,61,2
5,4032,62,2
5,4032,63,2
5,4032,64,2
5,4032,65,1
6,4032,21,2
6,4032,22,2
6,4032,31,2
6,4032,41,2
6,4032,42,2
6,4032,51,2
6,4032,61,2
6,4032,62,2
6,4032,63,2
6,4032,64,2
6,4032,65,1
7,4032,21,2
7,4032,22,2
7,4032,31,2
7,4032,41,2
7,4032,42,2
7,4032,51,2
7,4032,61,2
7,4032,62,2
7,4032,63,2
7,4032,64,2
7,4032,65,1
8,4032,21,2
8,4032,22,2
8,4032,31,2
8,4032,41,2
8,4032,42,2
8,4032,51,2
8,4032,61,2
8,4032,62,2
8,4032,63,2
8,4032,64,2
8,4032,65,1
9,4032,21,2
9,4032,22,2
9,4032,31,2
9,4032,41,2
9,4032,42,2
9,4032,51,2
9,4032,61,2
9,4032,62,2
9,4032,63,2
9,4032,64,2
9,4032,65,1
10,4032,21,2
10,4032,22,2
10,4032,31,2
10,4032,41,2
10,4032,42,2
10,4032,51,2
10,4032,61,2
10,4032,62,2
10,4032,63,2
10,4032,64,2
10,4032,65,1
11,4032,21,2
11,4032,22,2
11,4032,31,2
11,4032,41,2
11,4032,42,2
11,4032,51,2
11,4032,61,2
11,4032,62,2
11,4032,63,2
11,4032,64,2
11,4032,65,1
12,4032,21,2
12,4032,22,2
12,4032,31,2
12,4032,41,2
12,4032,42,2
12,4032,51,2
12,4032,61,2
12,4032,62,2
12,4032,63,2
12,4032,64,2
12,4032,65,1
13,4032,21,2
13,4032,22,2
13,4032,31,2
13,4032,41,2
13,4032,42,2
13,4032,51,2
13,4032,61,2
13,4032,62,2
13,4032,63,2
13,4032,64,2
13,4032,65,1
14,4032,21,2
14,4032,22,2
14,4032,31,2
14,4032,41,2
14,4032,42,2
14,4032,51,2
14,4032,61,2
14,4032,62,2
14,4032,63,2
14,4032,64,2
14,4032,65,1
15,4032,21,2
15,4032,22,2
15,4032,31,2
15,4032,41,2
15,4032,42,2
15,4032,51,2
15,4032,61,2
15,4032,62,2
15,4032,63,2
15,4032,64,2
15,4032,65,1
16,4032,21,2
16,4032,22,2
16,4032,31,2
16,4032,41,2
16,4032,42,2
16,4032,51,2
16,4032,61,2
16,4032,62,2
16,4032,63,2
16,4032,64,2
16,4032,65,1
17,4032,21,2
17,4032,22,2
17,4032,31,2
17,4032,41,2
17,4032,42,2
17,4032,51,2
17,4032,61,2
17,4032,62,2
17,4032,63,2
17,4032,64,2
17,4032,65,1
19,4032,21,2
19,4032,22,2
19,4032,31,2
19,4032,41,2
19,4032,42,2
19,4032,51,2
19,4032,61,2
19,4032,62,2
19,4032,63,2
19,4032,64,2
19,4032,65,1
20,4032,21,2
20,4032,22,2
20,4032,31,2
20,4032,41,2
20,4032,42,2
20,4032,51,2
20,4032,61,2
20,4032,62,2
20,4032,63,2
20,4032,64,2
20,4032,65,1
1,4042,21,2
1,4042,22,2
1,4042,31,2
1,4042,41,2
1,4042,42,2
1,4042,51,2
1,4042,61,2
1,4042,62,2
1,4042,63,2
1,4042,64,2
1,4042,65,1
2,4042,21,2
2,4042,22,2
2,4042,31,2
2,4042,41,2
2,4042,42,2
2,4042,51,2
2,4042,61,2
2,4042,62,2
2,4042,63,2
2,4042,64,2
2,4042,65,1
3,4042,21,2
3,4042,22,2
3,4042,31,2
3,4042,41,2
3,4042,42,2
3,4042,51,2
3,4042,61,2
3,4042,62,2
3,4042,63,2
3,4042,64,2
3,4042,65,1
4,4042,21,2
4,4042,22,2
4,4042,31,2
4,4042,41,2
4,4042,42,2
4,4042,51,2
4,4042,61,2
4,4042,62,2
4,4042,63,2
4,4042,64,2
4,4042,65,1
5,4042,21,2
5,4042,22,2
5,4042,31,2
5,4042,41,2
5,4042,42,2
5,4042,51,2
5,4042,61,2
5,4042,62,2
5,4042,63,2
5,4042,64,2
5,4042,65,1
6,4042,21,2
6,4042,22,2
6,4042,31,2
6,4042,41,2
6,4042,42,2
6,4042,51,2
6,4042,61,2
6,4042,62,2
6,4042,63,2
6,4042,64,2
6,4042,65,1
9,4042,21,2
9,4042,22,2
9,4042,31,2
9,4042,41,2
9,4042,42,2
9,4042,51,2
9,4042,61,2
9,4042,62,2
9,4042,63,2
9,4042,64,2
9,4042,65,1
10,4042,21,2
10,4042,22,2
10,4042,31,2
10,4042,41,2
10,4042,42,2
10,4042,51,1
10,4042,61,2
10,4042,62,2
10,4042,63,2
10,4042,64,2
10,4042,65,1
11,4042,21,2
11,4042,22,2
11,4042,31,2
11,4042,41,2
11,4042,42,2
11,4042,51,2
11,4042,61,2
11,4042,62,2
11,4042,63,2
11,4042,64,2
11,4042,65,1
13,4042,21,2
13,4042,22,2
13,4042,31,2
13,4042,41,2
13,4042,42,2
13,4042,51,2
13,4042,61,2
13,4042,62,2
13,4042,63,2
13,4042,64,2
13,4042,65,1
14,4042,21,2
14,4042,22,2
14,4042,31,2
14,4042,41,2
14,4042,42,2
14,4042,51,2
14,4042,61,2
14,4042,62,2
14,4042,63,2
14,4042,64,2
14,4042,65,1
15,4042,21,2
15,4042,22,2
15,4042,31,2
15,4042,41,2
15,4042,42,2
15,4042,51,2
15,4042,61,2
15,4042,62,2
15,4042,63,2
15,4042,64,2
15,4042,65,1
16,4042,21,2
16,4042,22,2
16,4042,31,2
16,4042,41,2
16,4042,42,2
16,4042,51,2
16,4042,61,2
16,4042,62,2
16,4042,63,2
16,4042,64,2
16,4042,65,1
17,4042,21,2
17,4042,22,2
17,4042,31,2
17,4042,41,2
17,4042,42,2
17,4042,51,2
17,4042,61,2
17,4042,62,2
17,4042,63,2
17,4042,64,2
17,4042,65,1
18,4042,21,2
18,4042,22,2
18,4042,31,2
18,4042,41,2
18,4042,42,2
18,4042,51,2
18,4042,61,2
18,4042,62,2
18,4042,63,2
18,4042,64,2
18,4042,65,1
19,4042,21,2
19,4042,22,2
19,4042,31,2
19,4042,41,2
19,4042,42,2
19,4042,51,2
19,4042,61,2
19,4042,62,2
19,4042,63,2
19,4042,64,2
19,4042,65,1
20,4042,21,2
20,4042,22,2
20,4042,31,2
20,4042,41,2
20,4042,42,2
20,4042,51,2
20,4042,61,2
20,4042,62,2
20,4042,63,2
20,4042,64,2
20,4042,65,1
21,4042,21,2
21,4042,22,2
21,4042,31,2
21,4042,41,2
21,4042,42,2
21,4042,51,2
21,4042,61,2
21,4042,62,2
21,4042,63,2
21,4042,64,2
21,4042,65,1
1,4044,21,2
1,4044,22,2
1,4044,31,2
1,4044,41,2
1,4044,42,2
1,4044,51,2
1,4044,61,2
1,4044,62,2
1,4044,63,2
1,4044,64,2
1,4044,65,1
2,4044,21,2
2,4044,22,2
2,4044,31,2
2,4044,41,2
2,4044,42,2
2,4044,51,2
2,4044,61,2
2,4044,62,2
2,4044,63,2
2,4044,64,2
2,4044,65,1
4,4044,21,2
4,4044,22,2
4,4044,31,2
4,4044,41,2
4,4044,42,2
4,4044,51,2
4,4044,61,2
4,4044,62,2
4,4044,63,2
4,4044,64,2
4,4044,65,1
5,4044,21,2
5,4044,22,2
5,4044,31,2
5,4044,41,2
5,4044,42,2
5,4044,51,2
5,4044,61,2
5,4044,62,2
5,4044,63,2
5,4044,64,2
5,4044,65,1
6,4044,21,2
6,4044,22,2
6,4044,31,2
6,4044,41,2
6,4044,42,2
6,4044,51,2
6,4044,61,2
6,4044,62,2
6,4044,63,2
6,4044,64,2
6,4044,65,1
8,4044,21,2
8,4044,22,2
8,4044,31,2
8,4044,41,2
8,4044,42,2
8,4044,51,2
8,4044,61,2
8,4044,62,2
8,4044,63,2
8,4044,64,2
8,4044,65,1
9,4044,21,2
9,4044,22,2
9,4044,31,2
9,4044,41,2
9,4044,42,2
9,4044,51,2
9,4044,61,2
9,4044,62,2
9,4044,63,2
9,4044,64,2
9,4044,65,1
10,4044,21,2
10,4044,22,2
10,4044,31,2
10,4044,41,2
10,4044,42,2
10,4044,51,2
10,4044,61,2
10,4044,62,2
10,4044,63,2
10,4044,64,2
10,4044,65,1
11,4044,21,2
11,4044,22,2
11,4044,31,2
11,4044,41,2
11,4044,42,2
11,4044,51,2
11,4044,61,2
11,4044,62,2
11,4044,63,2
11,4044,64,2
11,4044,65,1
12,4044,21,2
12,4044,22,2
12,4044,31,2
12,4044,41,2
12,4044,42,2
12,4044,51,2
12,4044,61,2
12,4044,62,2
12,4044,63,2
12,4044,64,2
12,4044,65,1
13,4044,21,2
13,4044,22,2
13,4044,31,2
13,4044,41,2
13,4044,42,2
13,4044,51,2
13,4044,61,2
13,4044,62,2
13,4044,63,2
13,4044,64,2
13,4044,65,1
14,4044,21,2
14,4044,22,2
14,4044,31,2
14,4044,41,2
14,4044,42,2
14,4044,51,2
14,4044,61,2
14,4044,62,2
14,4044,63,2
14,4044,64,2
14,4044,65,1
15,4044,21,2
15,4044,22,2
15,4044,31,2
15,4044,41,2
15,4044,42,2
15,4044,51,2
15,4044,61,2
15,4044,62,2
15,4044,63,2
15,4044,64,2
15,4044,65,1
16,4044,21,2
16,4044,22,2
16,4044,31,2
16,4044,41,2
16,4044,42,2
16,4044,51,2
16,4044,61,2
16,4044,62,2
16,4044,63,2
16,4044,64,2
16,4044,65,1
17,4044,21,2
17,4044,22,2
17,4044,31,2
17,4044,41,2
17,4044,42,2
17,4044,51,2
17,4044,61,2
17,4044,62,2
17,4044,63,2
17,4044,64,2
17,4044,65,1
18,4044,21,2
18,4044,22,2
18,4044,31,2
18,4044,41,2
18,4044,42,2
18,4044,51,2
18,4044,61,2
18,4044,62,2
18,4044,63,2
18,4044,64,2
18,4044,65,1
19,4044,21,2
19,4044,22,2
19,4044,31,2
19,4044,41,2
19,4044,42,2
19,4044,51,2
19,4044,61,2
19,4044,62,2
19,4044,63,2
19,4044,64,2
19,4044,65,1
20,4044,21,2
20,4044,22,2
20,4044,31,2
20,4044,41,2
20,4044,42,2
20,4044,51,2
20,4044,61,2
20,4044,62,2
20,4044,63,2
20,4044,64,2
20,4044,65,1
1,4049,21,2
1,4049,22,2
1,4049,31,2
1,4049,41,2
1,4049,42,2
1,4049,51,2
1,4049,61,2
1,4049,62,2
1,4049,63,2
1,4049,64,2
1,4049,65,1
2,4049,21,2
2,4049,22,2
2,4049,31,2
2,4049,41,2
2,4049,42,2
2,4049,51,2
2,4049,61,2
2,4049,62,2
2,4049,63,2
2,4049,64,2
2,4049,65,1
3,4049,21,2
3,4049,22,2
3,4049,31,2
3,4049,41,2
3,4049,42,2
3,4049,51,2
3,4049,61,2
3,4049,62,2
3,4049,63,2
3,4049,64,2
3,4049,65,1
4,4049,21,2
4,4049,22,2
4,4049,31,2
4,4049,41,2
4,4049,42,2
4,4049,51,2
4,4049,61,2
4,4049,62,2
4,4049,63,2
4,4049,64,2
4,4049,65,1
5,4049,21,2
5,4049,22,2
5,4049,31,2
5,4049,41,2
5,4049,42,2
5,4049,51,2
5,4049,61,2
5,4049,62,2
5,4049,63,2
5,4049,64,2
5,4049,65,1
6,4049,21,2
6,4049,22,2
6,4049,31,2
6,4049,41,2
6,4049,42,2
6,4049,51,2
6,4049,61,2
6,4049,62,2
6,4049,63,2
6,4049,64,2
6,4049,65,1
7,4049,21,2
7,4049,22,2
7,4049,31,2
7,4049,41,2
7,4049,42,2
7,4049,51,2
7,4049,61,2
7,4049,62,2
7,4049,63,2
7,4049,64,2
7,4049,65,1
8,4049,21,2
8,4049,22,2
8,4049,31,2
8,4049,41,2
8,4049,42,2
8,4049,51,2
8,4049,61,2
8,4049,62,2
8,4049,63,2
8,4049,64,2
8,4049,65,1
9,4049,21,2
9,4049,22,2
9,4049,31,2
9,4049,41,2
9,4049,42,2
9,4049,51,2
9,4049,61,2
9,4049,62,2
9,4049,63,2
9,4049,64,2
9,4049,65,1
10,4049,21,2
10,4049,22,2
10,4049,31,2
10,4049,41,2
10,4049,42,2
10,4049,51,2
10,4049,61,2
10,4049,62,2
10,4049,63,2
10,4049,64,2
10,4049,65,1
11,4049,21,2
11,4049,22,2
11,4049,31,2
11,4049,41,2
11,4049,42,2
11,4049,51,2
11,4049,61,2
11,4049,62,2
11,4049,63,2
11,4049,64,2
11,4049,65,1
12,4049,21,2
12,4049,22,2
12,4049,31,2
12,4049,41,2
12,4049,42,2
12,4049,51,2
12,4049,61,2
12,4049,62,2
12,4049,63,2
12,4049,64,2
12,4049,65,1
13,4049,21,2
13,4049,22,2
13,4049,31,2
13,4049,41,2
13,4049,42,2
13,4049,51,2
13,4049,61,2
13,4049,62,2
13,4049,63,2
13,4049,64,2
13,4049,65,1
14,4049,21,2
14,4049,22,2
14,4049,31,2
14,4049,41,2
14,4049,42,2
14,4049,51,2
14,4049,61,2
14,4049,62,2
14,4049,63,2
14,4049,64,2
14,4049,65,1
15,4049,21,2
15,4049,22,2
15,4049,31,2
15,4049,41,2
15,4049,42,2
15,4049,51,2
15,4049,61,2
15,4049,62,2
15,4049,63,2
15,4049,64,2
15,4049,65,1
16,4049,21,2
16,4049,22,2
16,4049,31,2
16,4049,41,2
16,4049,42,2
16,4049,51,2
16,4049,61,2
16,4049,62,2
16,4049,63,2
16,4049,64,2
16,4049,65,1
17,4049,21,2
17,4049,22,2
17,4049,31,2
17,4049,41,2
17,4049,42,2
17,4049,51,2
17,4049,61,2
17,4049,62,2
17,4049,63,2
17,4049,64,2
17,4049,65,1
18,4049,21,2
18,4049,22,2
18,4049,31,2
18,4049,41,2
18,4049,42,2
18,4049,51,2
18,4049,61,2
18,4049,62,2
18,4049,63,2
18,4049,64,2
18,4049,65,1
19,4049,21,2
19,4049,22,2
19,4049,31,2
19,4049,41,2
19,4049,42,2
19,4049,51,2
19,4049,61,2
19,4049,62,2
19,4049,63,2
19,4049,64,2
19,4049,65,1
20,4049,21,2
20,4049,22,2
20,4049,31,2
20,4049,41,2
20,4049,42,2
20,4049,51,2
20,4049,61,2
20,4049,62,2
20,4049,63,2
20,4049,64,2
20,4049,65,1
18,4052,21,2
18,4052,22,2
18,4052,31,2
18,4052,41,2
18,4052,42,2
18,4052,51,2
18,4052,61,2
18,4052,62,2
18,4052,63,2
18,4052,64,2
18,4052,65,1
1,4055,21,2
1,4055,22,2
1,4055,31,2
1,4055,41,2
1,4055,42,2
1,4055,51,2
1,4055,61,2
1,4055,62,2
1,4055,63,2
1,4055,64,2
1,4055,65,1
2,4055,21,2
2,4055,22,2
2,4055,31,2
2,4055,41,2
2,4055,42,2
2,4055,51,2
2,4055,61,2
2,4055,62,2
2,4055,63,2
2,4055,64,2
2,4055,65,1
3,4055,21,2
3,4055,22,2
3,4055,31,2
3,4055,41,2
3,4055,42,2
3,4055,51,2
3,4055,61,2
3,4055,62,2
3,4055,63,2
3,4055,64,2
3,4055,65,1
4,4055,21,2
4,4055,22,2
4,4055,31,2
4,4055,41,2
4,4055,42,2
4,4055,51,2
4,4055,61,2
4,4055,62,2
4,4055,63,2
4,4055,64,2
4,4055,65,1
5,4055,21,2
5,4055,22,2
5,4055,31,2
5,4055,41,2
5,4055,42,2
5,4055,51,2
5,4055,61,2
5,4055,62,2
5,4055,63,2
5,4055,64,2
5,4055,65,1
6,4055,21,2
6,4055,22,2
6,4055,31,2
6,4055,41,2
6,4055,42,2
6,4055,51,2
6,4055,61,2
6,4055,62,2
6,4055,63,2
6,4055,64,2
6,4055,65,1
8,4055,21,2
8,4055,22,2
8,4055,31,2
8,4055,41,2
8,4055,42,2
8,4055,51,2
8,4055,61,2
8,4055,62,2
8,4055,63,2
8,4055,64,2
8,4055,65,1
9,4055,21,2
9,4055,22,2
9,4055,31,2
9,4055,41,2
9,4055,42,2
9,4055,51,2
9,4055,61,2
9,4055,62,2
9,4055,63,2
9,4055,64,2
9,4055,65,1
10,4055,21,2
10,4055,22,2
10,4055,31,2
10,4055,41,2
10,4055,42,2
10,4055,51,2
10,4055,61,2
10,4055,62,2
10,4055,63,2
10,4055,64,2
10,4055,65,1
11,4055,21,2
11,4055,22,2
11,4055,31,2
11,4055,41,2
11,4055,42,2
11,4055,51,2
11,4055,61,2
11,4055,62,2
11,4055,63,2
11,4055,64,2
11,4055,65,1
12,4055,21,2
12,4055,22,2
12,4055,31,2
12,4055,41,2
12,4055,42,2
12,4055,51,2
12,4055,61,2
12,4055,62,2
12,4055,63,2
12,4055,64,2
12,4055,65,1
13,4055,21,2
13,4055,22,2
13,4055,31,2
13,4055,41,2
13,4055,42,2
13,4055,51,2
13,4055,61,2
13,4055,62,2
13,4055,63,2
13,4055,64,2
13,4055,65,1
14,4055,21,2
14,4055,22,2
14,4055,31,2
14,4055,41,2
14,4055,42,2
14,4055,51,2
14,4055,61,2
14,4055,62,2
14,4055,63,2
14,4055,64,2
14,4055,65,1
15,4055,21,2
15,4055,22,2
15,4055,31,2
15,4055,41,2
15,4055,42,2
15,4055,51,2
15,4055,61,2
15,4055,62,2
15,4055,63,2
15,4055,64,2
15,4055,65,1
18,4055,21,2
18,4055,22,2
18,4055,31,2
18,4055,41,2
18,4055,42,2
18,4055,51,2
18,4055,61,2
18,4055,62,2
18,4055,63,2
18,4055,64,2
18,4055,65,1
19,4055,21,2
19,4055,22,2
19,4055,31,2
19,4055,41,2
19,4055,42,2
19,4055,51,2
19,4055,61,2
19,4055,62,2
19,4055,63,2
19,4055,64,2
19,4055,65,1
20,4055,21,2
20,4055,22,2
20,4055,31,2
20,4055,41,2
20,4055,42,2
20,4055,51,2
20,4055,61,2
20,4055,62,2
20,4055,63,2
20,4055,64,2
20,4055,65,1
25,4055,21,2
25,4055,22,2
25,4055,31,2
25,4055,41,2
25,4055,42,2
25,4055,51,2
25,4055,61,2
25,4055,62,2
25,4055,63,2
25,4055,64,2
25,4055,65,1
1,4059,21,2
1,4059,22,2
1,4059,31,2
1,4059,41,2
1,4059,42,2
1,4059,51,2
1,4059,61,2
1,4059,62,2
1,4059,63,2
1,4059,64,2
1,4059,65,1
2,4059,21,2
2,4059,22,2
2,4059,31,2
2,4059,41,2
2,4059,42,2
2,4059,51,2
2,4059,61,2
2,4059,62,2
2,4059,63,2
2,4059,64,2
2,4059,65,1
3,4059,21,2
3,4059,22,2
3,4059,31,2
3,4059,41,2
3,4059,42,2
3,4059,51,2
3,4059,61,2
3,4059,62,2
3,4059,63,2
3,4059,64,2
3,4059,65,1
7,4059,21,2
7,4059,22,2
7,4059,31,2
7,4059,41,2
7,4059,42,2
7,4059,51,2
7,4059,61,2
7,4059,62,2
7,4059,63,2
7,4059,64,2
7,4059,65,1
8,4059,21,2
8,4059,22,2
8,4059,31,2
8,4059,41,2
